,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
6969978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970071,,,,,,,,,,,,,,,,,,,,,,0.013693992979824543,-0.00046949833631515503,,,,,,,,,,,-0.036238957196474075,-0.00047947466373443604,,,,,,,,,,,,,,,,-1.5219528675079346,9.429827332496643e-05,,,,,
6970071,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970071,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6970071,4803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970071,,,,0.21892179548740387,,,,,,,,,,,,,,,-87.0,0.7846576571464539,-2.076592445373535,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6970071,,0.0,-0.20999999344348907,,,,,,,-0.0009558871970511973,,,,0.003677786560729146,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2675107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6970074,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6970077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,-24,0,3,,,50,0,-1025,-36,0
6970077,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.2999267578125,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970077,,,,,,,32767.0,14666.0,97.0,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970171,,,,,,,,,,,,,,,,,,,,,,0.013703780248761177,0.0004424010403454304,,,,,,,,,,,-0.036260224878787994,-0.00018331781029701233,,,,,,,,,,,,,,,,-1.5219587087631226,-0.00034200772643089294,,,,,
6970171,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970171,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6970171,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970171,,,,0.21874259412288666,,,,,,,,,,,,,,,-87.0,0.7850093841552734,-2.077558755874634,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6970171,,0.0,-0.20999999344348907,,,,,,,-0.0003159221669193357,,,,0.0034391917288303375,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2675210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6970178,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6970179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,-26,0,15,,,49,0,-1022,-35,0
6970179,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.0999755859375,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970179,,,,,,,32767.0,14663.0,97.0,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970271,,,,,,,,,,,,,,,,,,,,,,0.013690921477973461,-0.0004840567708015442,,,,,,,,,,,-0.03627559915184975,-0.0007654912769794464,,,,,,,,,,,,,,,,-1.52191960811615,-4.82732430100441e-05,,,,,
6970271,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970271,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6970271,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970271,,,,0.2185225784778595,,,,,,,,,,,,,,,-87.0,0.784541666507721,-2.078444480895996,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6970271,,0.0,-0.20999999344348907,,,,,,,0.0001148632654803805,,,,0.003700027707964182,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2675307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6970274,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6970277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,-29,0,0,,,44,0,-1011,-41,0
6970277,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.4000244140625,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970277,,,,,,,32767.0,14656.0,97.0,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970371,,,,,,,,,,,,,,,,,,,,,,0.013723115436732769,6.184447556734085e-06,,,,,,,,,,,-0.036304768174886703,0.0002451092004776001,,,,,,,,,,,,,,,,-1.5218753814697266,0.000353395938873291,,,,,
6970371,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970371,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6970371,4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970371,,,,0.21844615042209625,,,,,,,,,,,,,,,-87.0,0.786264955997467,-2.0801472663879395,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6970371,,0.0,-0.2199999988079071,,,,,,,-0.00012226843682583421,,,,0.0035707128699868917,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2675407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6970374,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6970377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-29,0,-7,,,51,0,-1020,-37,0
6970378,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.4000244140625,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970378,,,,,,,32767.0,14663.0,97.0,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970471,,,,,,,,,,,,,,,,,,,,,,0.013705182820558548,0.0004007844254374504,,,,,,,,,,,-0.03631672263145447,-0.0008745379745960236,,,,,,,,,,,,,,,,-1.5218510627746582,-0.0003604348748922348,,,,,
6970471,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970471,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6970471,4798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
