,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
980673,,,,,,,,,,,,,,,,,,,,,,0.19795745611190796,-0.0017073404742404819,,,,,,,,,,,0.009907010942697525,0.0016782829770818353,,,,,,,,,,,,,,,,1.5658466815948486,0.001181409228593111,,,,,
980673,,,,,-40,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980673,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,STANDBY,,,,,,,,,,,,,
980673,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980673,,,,-0.027003280818462372,,,,,,,,,,,,,,,89.0,11.34211540222168,0.5680884718894958,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
980673,,0.0,-0.03999999910593033,,,,,,,0.0028108758851885796,,,,0.15232549607753754,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
980675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
980678,,,,,,,,,,,,0.0,,,,,,,,,,,,970.5,1421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980678,,,,,,,32767.0,15082.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981673,,,,,,,,,,,,,,,,,,,,,,0.19776283204555511,-0.002049769042059779,,,,,,,,,,,0.00988563522696495,0.001074062893167138,,,,,,,,,,,,,,,,1.5658375024795532,0.002480231923982501,,,,,
