,Vcc,airspeed,alt,alt_error,altgps,armed,climb,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
600663,,,,,,,,,,,,,,,,,,0.0007724151946604252,-0.0013722137082368135,,,,,,,,,,,0.012806292623281479,0.0011077934177592397,,,,,,,,,,,,,,,,1.2543532848358154,0.0023636191617697477,,,,,
600663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600663,,0.0,0.0,,,,-0.0026408859994262457,,,0.5501308441162109,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
600665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
601663,,,,,,,,,,,,,,,,,,0.000795027706772089,-0.0009403710719197989,,,,,,,,,,,0.012948289513587952,0.0005220763850957155,,,,,,,,,,,,,,,,1.2553191184997559,0.0029380284249782562,,,,,
601663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601663,,0.0,0.0,,,,-0.00032535416539758444,,,0.5513659119606018,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
601665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
602663,,,,,,,,,,,,,,,,,,0.0008328394033014774,-0.0010383168701082468,,,,,,,,,,,0.012899789959192276,0.001639254973269999,,,,,,,,,,,,,,,,1.2566030025482178,0.0031931980047374964,,,,,
602663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602663,,0.0,0.0,,,,-0.0016859216848388314,,,0.5479105114936829,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
602665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
603663,,,,,,,,,,,,,,,,,,0.0007768969517201185,-0.004156799055635929,,,,,,,,,,,0.012897681444883347,0.0018571295076981187,,,,,,,,,,,,,,,,1.258434534072876,0.0049888999201357365,,,,,
603663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603663,,0.0,0.0,,,,0.005093298852443695,,,0.5444643497467041,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
603665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1494,1494,1506,1450,1450,1450,1450,,,,,,,,,,,,,,
604663,,,,,,,,,,,,,,,,,,0.0025550215505063534,0.005908983759582043,,,,,,,,,,,0.012360714375972748,-0.0002235837746411562,,,,,,,,,,,,,,,,1.2597739696502686,0.0010372258257120848,,,,,
604663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604663,,0.0,0.0,,,,-0.0010352645767852664,,,0.5404385328292847,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
604665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1495,1495,1505,1450,1450,1450,1450,,,,,,,,,,,,,,
605663,,,,,,,,,,,,,,,,,,0.0015022901352494955,0.004260455723851919,,,,,,,,,,,0.013345520943403244,0.0024493688251823187,,,,,,,,,,,,,,,,1.257207989692688,-0.0034301148261874914,,,,,
605663,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
