,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
46657,,,,,,,,,,,,,,,,,,,,,,-0.014255687594413757,-0.00014275498688220978,,,,,,,,,,,-0.061894096434116364,-0.0008221231400966644,,,,,,,,,,,,,,,,-0.2958333194255829,-0.0010123848915100098,,,,,
46657,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46657,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
46657,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46657,,,,0.21182391047477722,,,,,,,,,,,,,,,-16.0,-0.816830039024353,-3.546207904815674,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
46657,,0.0,-0.19999998807907104,,,,,,,-0.0075963870622217655,,,,0.05895402282476425,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
46661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
46665,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
46665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-37,0,57,,,-5,0,-992,-23,0
46665,,,,,,,,,,,,0.0,,,,,,,,,,,,1029.0,2342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46665,,,,,,,32767.0,14464.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47657,,,,,,,,,,,,,,,,,,,,,,-0.014223434962332249,-0.0002748933620750904,,,,,,,,,,,-0.062019653618335724,-0.0014942549169063568,,,,,,,,,,,,,,,,-0.29609930515289307,-0.0012715435586869717,,,,,
47657,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47657,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
47657,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47657,,,,0.0,,,,,,,,,,,,,,,-16.0,-0.8146846294403076,-3.553496837615967,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
47657,,0.0,-0.19999998807907104,,,,,,,-0.00622274586930871,,,,0.06189486384391785,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
47664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
47665,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
47667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-31,0,63,,,-4,0,-979,-27,0
47670,,,,,,,,,,,,0.0,,,,,,,,,,,,1029.2999267578125,2342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47670,,,,,,,32767.0,14464.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48658,,,,,,,,,,,,,,,,,,,,,,-0.01426767185330391,-0.0004626899026334286,,,,,,,,,,,-0.062107935547828674,-0.0004505366086959839,,,,,,,,,,,,,,,,-0.2963959574699402,-0.000858197920024395,,,,,
48658,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48658,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
48658,4759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48658,,,,0.0,,,,,,,,,,,,,,,-16.0,-0.8174275159835815,-3.5585808753967285,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
48658,,0.0,-0.19999998807907104,,,,,,,-0.005672257859259844,,,,0.06596928834915161,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
48661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
48662,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
48666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-32,0,48,,,-6,0,-982,-22,0
48669,,,,,,,,,,,,0.0,,,,,,,,,,,,1029.2999267578125,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48669,,,,,,,32767.0,14464.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49657,,,,,,,,,,,,,,,,,,,,,,-0.014198677614331245,-0.00016815122216939926,,,,,,,,,,,-0.062339767813682556,-0.001088205724954605,,,,,,,,,,,,,,,,-0.29650431871414185,-0.0008803592063486576,,,,,
49657,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49657,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
49657,4755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49657,,,,0.0,,,,,,,,,,,,,,,-16.0,-0.8134690523147583,-3.571913957595825,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
49657,,0.0,-0.19999998807907104,,,,,,,-0.008243967778980732,,,,0.07016360014677048,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
49665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
49665,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
49666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-33,0,58,,,-4,0,-990,-23,0
49667,,,,,,,,,,,,0.0,,,,,,,,,,,,1028.699951171875,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49667,,,,,,,32767.0,14465.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50657,,,,,,,,,,,,,,,,,,,,,,-0.014118901453912258,0.0001498088240623474,,,,,,,,,,,-0.06231214106082916,-0.0010828934609889984,,,,,,,,,,,,,,,,-0.29684245586395264,-0.0016220114193856716,,,,,
50657,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50657,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
50657,4759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50657,,,,0.0,,,,,,,,,,,,,,,-17.0,-0.8088159561157227,-3.570190906524658,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
50657,,0.0,-0.19999998807907104,,,,,,,-0.005282428581267595,,,,0.07516250759363174,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
50665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
50665,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
50667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-32,0,50,,,-2,0,-992,-21,0
50668,,,,,,,,,,,,0.0,,,,,,,,,,,,1028.5999755859375,2342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50668,,,,,,,32767.0,14466.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51657,,,,,,,,,,,,,,,,,,,,,,-0.014126313850283623,8.491752669215202e-05,,,,,,,,,,,-0.06215405836701393,-0.0006817430257797241,,,,,,,,,,,,,,,,-0.2968514561653137,-0.0009683044627308846,,,,,
51658,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51658,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
51658,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51658,,,,0.0,,,,,,,,,,,,,,,-17.0,-0.8093205690383911,-3.560910940170288,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
51658,,0.0,-0.19999998807907104,,,,,,,-0.0030944484751671553,,,,0.07296598702669144,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
51665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
51665,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
51665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,-31,0,63,,,-6,0,-991,-31,0
51667,,,,,,,,,,,,0.0,,,,,,,,,,,,1028.4000244140625,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51667,,,,,,,32767.0,14468.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52895,,,,,,,,,,,,,,,,,,,,,,-0.013986651785671711,5.557853728532791e-05,,,,,,,,,,,-0.061911530792713165,-0.0010835789144039154,,,,,,,,,,,,,,,,-0.2966850697994232,-0.0013054106384515762,,,,,
52895,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52895,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
52895,4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52895,,,,0.20493905246257782,,,,,,,,,,,,,,,-16.0,-0.8012831807136536,-3.5473103523254395,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
52895,,0.0,-0.19999998807907104,,,,,,,-0.0041840397752821445,,,,0.0755326971411705,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
52899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
52900,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
52902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-32,0,59,,,-3,0,-986,-24,0
52902,,,,,,,,,,,,0.0,,,,,,,,,,,,1028.5,2342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52902,,,,,,,32767.0,14467.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53295,,,,,,,,,,,,,,,,,,,,,,-0.013966941274702549,-0.000766329001635313,,,,,,,,,,,-0.06174376979470253,-0.0007053911685943604,,,,,,,,,,,,,,,,-0.29651984572410583,-0.0005412441678345203,,,,,
53295,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53295,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
53295,4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53295,,,,0.2054729461669922,,,,,,,,,,,,,,,-16.0,-0.800091028213501,-3.538071632385254,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
53295,,0.0,-0.19999998807907104,,,,,,,-0.004618821665644646,,,,0.07298208773136139,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
53298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
53299,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
53302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-33,0,55,,,-4,0,-984,-29,0
53302,,,,,,,,,,,,0.0,,,,,,,,,,,,1028.9000244140625,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53302,,,,,,,32767.0,14468.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53695,,,,,,,,,,,,,,,,,,,,,,-0.013925493694841862,-0.00015601329505443573,,,,,,,,,,,-0.06170309707522392,-0.0009299665689468384,,,,,,,,,,,,,,,,-0.2966228723526001,-0.0012470381334424019,,,,,
53695,,,,,-200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53695,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
53695,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53695,,,,0.20553284883499146,,,,,,,,,,,,,,,-16.0,-0.7978720664978027,-3.5353269577026367,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
53695,,0.0,-0.19999998807907104,,,,,,,-0.004164667800068855,,,,0.07185813784599304,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
53697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
53699,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
53699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-33,0,34,,,-3,0,-992,-20,0
53702,,,,,,,,,,,,0.0,,,,,,,,,,,,1028.5999755859375,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53702,,,,,,,32767.0,14468.0,99.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
