,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
2788353,,,,,,,,,,,,,,,,,,,,,,0.13157986104488373,-0.0006317002698779106,,,,,,,,,,,-0.011167075484991074,-0.0012843029107898474,,,,,,,,,,,,,,,,0.5289188623428345,0.0061558145098388195,,,,,
2788353,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788353,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2788353,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788353,,,,-0.029588542878627777,,,,,,,,,,,,,,,30.0,7.538956642150879,-0.6401634216308594,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2788353,,0.0,-0.019999999552965164,,,,,,,-0.0050518386997282505,,,,0.004696824587881565,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2788355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2788356,,,,,,,,,,,,0.0,,,,,,,,,,,,969.199951171875,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788356,,,,,,,32767.0,15007.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788753,,,,,,,,,,,,,,,,,,,,,,0.13168635964393616,0.00024444377049803734,,,,,,,,,,,-0.011225521564483643,-0.0003559908363968134,,,,,,,,,,,,,,,,0.5313408374786377,0.006208785809576511,,,,,
2788753,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788753,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2788753,4729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788753,,,,-0.0293734073638916,,,,,,,,,,,,,,,30.0,7.545022010803223,-0.6435422897338867,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2788753,,0.0,-0.019999999552965164,,,,,,,-0.003563076024875045,,,,0.004346766043454409,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2788756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2788758,,,,,,,,,,,,0.0,,,,,,,,,,,,969.199951171875,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788758,,,,,,,32767.0,15002.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789153,,,,,,,,,,,,,,,,,,,,,,0.1317702829837799,-0.000401416327804327,,,,,,,,,,,-0.011235971003770828,-0.0003717410727404058,,,,,,,,,,,,,,,,0.5338707566261292,0.005916548427194357,,,,,
2789153,,,,,-30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789153,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2789153,4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789153,,,,-0.03150224685668945,,,,,,,,,,,,,,,30.0,7.549866199493408,-0.644113302230835,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2789153,,0.0,-0.029999999329447746,,,,,,,-0.0013060241471976042,,,,0.00695515051484108,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2789155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2789158,,,,,,,,,,,,0.0,,,,,,,,,,,,969.5,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789158,,,,,,,32767.0,15000.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789553,,,,,,,,,,,,,,,,,,,,,,0.13182491064071655,0.00026474008336663246,,,,,,,,,,,-0.01126057282090187,-0.0008122220751829445,,,,,,,,,,,,,,,,0.5364400148391724,0.006319334730505943,,,,,
2789553,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789553,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2789553,4729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789553,,,,-0.034306079149246216,,,,,,,,,,,,,,,30.0,7.5530548095703125,-0.6458162069320679,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2789553,,0.0,-0.019999999552965164,,,,,,,7.726206968072802e-05,,,,0.008708132430911064,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2789556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2789558,,,,,,,,,,,,0.0,,,,,,,,,,,,969.2999877929688,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789558,,,,,,,32767.0,15008.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789953,,,,,,,,,,,,,,,,,,,,,,0.13188853859901428,0.0006123250350356102,,,,,,,,,,,-0.011256519705057144,-0.0012192365247756243,,,,,,,,,,,,,,,,0.5391020178794861,0.005800310987979174,,,,,
2789953,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789953,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2789953,4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789953,,,,-0.0347675085067749,,,,,,,,,,,,,,,30.0,7.556640625,-0.645292341709137,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2789953,,0.0,-0.019999999552965164,,,,,,,0.0005606347694993019,,,,0.00939004123210907,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2789955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2789958,,,,,,,,,,,,0.0,,,,,,,,,,,,969.2999877929688,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789958,,,,,,,32767.0,15016.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790353,,,,,,,,,,,,,,,,,,,,,,0.1319723129272461,0.00020024552941322327,,,,,,,,,,,-0.011189498007297516,-0.0004530810401774943,,,,,,,,,,,,,,,,0.5416706204414368,0.006356091238558292,,,,,
2790353,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790353,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2790353,4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790353,,,,-0.03435163572430611,,,,,,,,,,,,,,,30.0,7.555957317352295,-0.645264208316803,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2790353,,0.0,-0.019999999552965164,,,,,,,-1.0686540917959064e-05,,,,0.012077350169420242,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2790356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2790358,,,,,,,,,,,,0.0,,,,,,,,,,,,969.0999755859375,1436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790358,,,,,,,32767.0,15011.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790753,,,,,,,,,,,,,,,,,,,,,,0.13201068341732025,-0.0003622276708483696,,,,,,,,,,,-0.011168397963047028,-0.000914590316824615,,,,,,,,,,,,,,,,0.5443527102470398,0.00581790367141366,,,,,
2790753,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790753,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2790753,4719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790753,,,,-0.03565742075443268,,,,,,,,,,,,,,,30.0,7.555957317352295,-0.645264208316803,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2790753,,0.0,-0.019999999552965164,,,,,,,0.0012077015126124024,,,,0.014383465982973576,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2790756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2790758,,,,,,,,,,,,0.0,,,,,,,,,,,,969.0,1435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790758,,,,,,,32767.0,14999.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791153,,,,,,,,,,,,,,,,,,,,,,0.13203933835029602,-0.0001603970304131508,,,,,,,,,,,-0.011146970093250275,-0.0008431620663031936,,,,,,,,,,,,,,,,0.5470526814460754,0.006037639454007149,,,,,
2791153,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791153,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2791153,4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791153,,,,-0.03568161278963089,,,,,,,,,,,,,,,30.0,7.555957317352295,-0.645264208316803,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2791153,,0.0,-0.019999999552965164,,,,,,,0.00045026117004454136,,,,0.018336579203605652,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2791156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2791158,,,,,,,,,,,,0.0,,,,,,,,,,,,969.0999755859375,1436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791158,,,,,,,32767.0,15010.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791553,,,,,,,,,,,,,,,,,,,,,,0.13207408785820007,-0.00046795979142189026,,,,,,,,,,,-0.011158771812915802,-0.0005229375674389303,,,,,,,,,,,,,,,,0.5495928525924683,0.006574216298758984,,,,,
2791553,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791553,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2791553,4722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791553,,,,-0.03490100055932999,,,,,,,,,,,,,,,30.0,7.555957317352295,-0.645264208316803,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2791553,,0.0,-0.019999999552965164,,,,,,,-0.0012648820411413908,,,,0.022853365167975426,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2791556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2791558,,,,,,,,,,,,0.0,,,,,,,,,,,,969.0999755859375,1436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791558,,,,,,,32767.0,15010.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791953,,,,,,,,,,,,,,,,,,,,,,0.13210102915763855,6.821006536483765e-06,,,,,,,,,,,-0.011159662157297134,-0.001304561155848205,,,,,,,,,,,,,,,,0.5521869659423828,0.006270885467529297,,,,,
2791953,,,,,-20,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791953,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2791953,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791953,,,,-0.03419578820466995,,,,,,,,,,,,,,,30.0,7.555957317352295,-0.645264208316803,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2791953,,0.0,-0.019999999552965164,,,,,,,-0.0020903442054986954,,,,0.027284644544124603,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2791955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2791958,,,,,,,,,,,,0.0,,,,,,,,,,,,969.199951171875,1436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791958,,,,,,,32767.0,15021.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792353,,,,,,,,,,,,,,,,,,,,,,0.13206824660301208,-0.0008741184137761593,,,,,,,,,,,-0.011122174561023712,-0.0010234727524220943,,,,,,,,,,,,,,,,0.5547765493392944,0.007078892085701227,,,,,
2792353,,,,,-30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792353,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
2792353,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792353,,,,-0.033224429935216904,,,,,,,,,,,,,,,30.0,7.555957317352295,-0.645264208316803,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2792353,,0.0,-0.029999999329447746,,,,,,,-0.0019243010319769382,,,,0.03024756722152233,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2792355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
2792358,,,,,,,,,,,,0.0,,,,,,,,,,,,969.7999877929688,1436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792358,,,,,,,32767.0,15009.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792753,,,,,,,,,,,,,,,,,,,,,,0.13209168612957,-0.0005495063960552216,,,,,,,,,,,-0.011060979217290878,-0.0009198198677040637,,,,,,,,,,,,,,,,0.5573705434799194,0.006156145595014095,,,,,
